Time,R_PositionX,R_PositionY,R_PositionZ,R_RotationX,R_RotationY,R_RotationZ,R_RotationW,R_CurlIndex,R_CurlMiddle,R_CurlRing,R_CurlPinky,R_CurlThumb,L_PositionX,L_PositionY,L_PositionZ,L_RotationX,L_RotationY,L_RotationZ,L_RotationW,L_CurlIndex,L_CurlMiddle,L_CurlRing,L_CurlPinky,L_CurlThumb
305.3266,0.5845923,1.372458,0.4949668,-0.925606,0.06933691,-0.3544855,0.113075,5.960464E-08,0,0.243638,0,0.6117565,0,0,0,0,0,0,0,0,0,0,0,0
305.3741,0.5839427,1.372302,0.4952892,-0.9254935,0.06900785,-0.3546583,0.1136537,5.960464E-08,0,0.243638,0,0.6155658,0,0,0,0,0,0,0,0,0,0,0,0
305.4204,0.5837031,1.372464,0.4948813,-0.9254281,0.06864467,-0.3547827,0.1140177,5.960464E-08,0,0.243638,0,0.6171034,0,0,0,0,0,0,0,0,0,0,0,0
305.46,0.5834124,1.37273,0.4943847,-0.9253697,0.06831893,-0.3549831,0.1140631,5.960464E-08,0,0.243638,0,0.6177337,0,0,0,0,0,0,0,0,0,0,0,0
305.5067,0.5828758,1.373143,0.4936945,-0.9255012,0.0680522,-0.3546693,0.1141318,5.960464E-08,0,0.243638,0,0.6180278,0,0,0,0,0,0,0,0,0,0,0,0
305.5627,0.5825421,1.373733,0.4929442,-0.9255192,0.06820203,-0.3544847,0.1144694,5.960464E-08,0,0.243638,0,0.6181241,0,0,0,0,0,0,0,0,0,0,0,0
305.6054,0.5822023,1.373954,0.4929236,-0.9254136,0.06818214,-0.3546831,0.1147206,5.960464E-08,0,0.243638,0,0.6181518,0,0,0,0,0,0,0,0,0,0,0,0
305.693,0.5817049,1.37446,0.4923435,-0.9252673,0.06809292,-0.3548263,0.1155082,5.960464E-08,0,0.243638,0,0.6390216,0,0,0,0,0,0,0,0,0,0,0,0
305.7208,0.581222,1.374512,0.4923849,-0.9251565,0.06820443,-0.354839,0.1162882,5.960464E-08,0,0.243638,0,0.6410915,0,0,0,0,0,0,0,0,0,0,0,0
305.7325,0.5801222,1.37423,0.4927393,-0.9251592,0.06750168,-0.3547499,0.1169467,5.960464E-08,0,0.243638,0,0.6415262,0,0,0,0,0,0,0,0,0,0,0,0
305.8102,0.5800616,1.374673,0.4930908,-0.9252586,0.0666013,-0.3542162,0.1182868,5.960464E-08,0,0.243638,0,0.6429011,0,0,0,0,0,0,0,0,0,0,0,0
305.822,0.5798678,1.374688,0.4934033,-0.9252563,0.06664927,-0.3541206,0.1185633,5.960464E-08,0,0.243638,0,0.6430326,0,0,0,0,0,0,0,0,0,0,0,0
305.8618,0.5795525,1.374836,0.493763,-0.9252228,0.0665938,-0.3538896,0.1195416,5.960464E-08,0,0.243638,0,0.6431466,0,0,0,0,0,0,0,0,0,0,0,0
305.9116,0.5797231,1.374873,0.4935759,-0.9253175,0.06656527,-0.3534526,0.1201164,5.960464E-08,0,0.243638,0,0.6432269,0,0,0,0,0,0,0,0,0,0,0,0
305.9746,0.5799579,1.375417,0.4930982,-0.9253384,0.06711703,-0.3533177,0.120045,5.960464E-08,0,0.243638,0,0.6432558,0,0,0,0,0,0,0,0,0,0,0,0
305.9915,0.5801082,1.375385,0.4932853,-0.9253836,0.06730647,-0.3531632,0.1200453,5.960464E-08,0,0.243638,0,0.6432596,0,0,0,0,0,0,0,0,0,0,0,0
306.0364,0.5802881,1.375306,0.4931476,-0.9254757,0.06749319,-0.3528759,0.1200751,5.960464E-08,0,0.243638,0,0.6507564,0,0,0,0,0,0,0,0,0,0,0,0
306.0813,0.5807086,1.375279,0.4936172,-0.9256594,0.06735085,-0.3526127,0.1195106,5.960464E-08,0,0.243638,0,0.6538382,0,0,0,0,0,0,0,0,0,0,0,0
306.1233,0.5807391,1.37544,0.4934192,-0.9257315,0.06766605,-0.3523301,0.1196077,5.960464E-08,0,0.243638,0,0.6551023,0,0,0,0,0,0,0,0,0,0,0,0
306.1771,0.5806932,1.37544,0.4934953,-0.9257876,0.06758033,-0.3520516,0.1200419,5.960464E-08,0,0.243638,0,0.6556923,0,0,0,0,0,0,0,0,0,0,0,0
306.2214,0.5809181,1.375612,0.4933135,-0.9258114,0.06781048,-0.3518229,0.1203986,5.960464E-08,0,0.243638,0,0.6558621,0,0,0,0,0,0,0,0,0,0,0,0
306.26,0.5812454,1.375809,0.4931733,-0.9257761,0.06780882,-0.351827,0.1206578,5.960464E-08,0,0.243638,0,0.6559316,0,0,0,0,0,0,0,0,0,0,0,0
306.3039,0.581375,1.375887,0.4931834,-0.9257412,0.06808898,-0.3517914,0.1208717,5.960464E-08,0,0.243638,0,0.65596,0,0,0,0,0,0,0,0,0,0,0,0
306.3514,0.5813281,1.375853,0.4935382,-0.9256815,0.06813798,-0.351815,0.1212322,5.960464E-08,0,0.243638,0,0.6559734,0,0,0,0,0,0,0,0,0,0,0,0
306.3925,0.5812054,1.375754,0.4940731,-0.9255916,0.06814214,-0.351809,0.1219311,5.960464E-08,0,0.243638,0,0.6559772,0,0,0,0,0,0,0,0,0,0,0,0
306.4405,0.5810834,1.375774,0.4943817,-0.9255721,0.06801606,-0.3516298,0.1226648,5.960464E-08,0,0.243638,0,0.6559787,0,0,0,0,0,0,0,0,0,0,0,0
306.4804,0.5810113,1.375827,0.494358,-0.9256257,0.06787548,-0.3513128,0.123245,5.960464E-08,0,0.243638,0,0.6559795,0,0,0,0,0,0,0,0,0,0,0,0
306.5226,0.5808985,1.375875,0.4944156,-0.9257315,0.06705106,-0.3510598,0.1236216,5.960464E-08,0,0.243638,0,0.6559797,0,0,0,0,0,0,0,0,0,0,0,0
306.5748,0.5808402,1.375842,0.4943964,-0.9258215,0.06665788,-0.3507377,0.1240742,5.960464E-08,0,0.243638,0,0.6559797,0,0,0,0,0,0,0,0,0,0,0,0
306.6101,0.5807954,1.375834,0.4943822,-0.9258391,0.06613125,-0.350613,0.1245762,5.960464E-08,0,0.243638,0,0.6559797,0,0,0,0,0,0,0,0,0,0,0,0
306.6554,0.5806282,1.375704,0.4944912,-0.9258355,0.06557494,-0.3504828,0.1252607,5.960464E-08,0,0.243638,0,0.6559797,0,0,0,0,0,0,0,0,0,0,0,0
306.7054,0.5806245,1.375581,0.494871,-0.9258635,0.06489459,-0.350317,0.1258711,5.960464E-08,0,0.243638,0,0.6513903,0,0,0,0,0,0,0,0,0,0,0,0
306.7514,0.5807287,1.375725,0.4947851,-0.9258199,0.06448594,-0.3503568,0.1262901,5.960464E-08,0,0.243638,0,0.6465884,0,0,0,0,0,0,0,0,0,0,0,0
306.7792,0.5806868,1.375932,0.4949288,-0.9256962,0.06425967,-0.3505486,0.126779,5.960464E-08,0,0.243638,0,0.6453915,0,0,0,0,0,0,0,0,0,0,0,0
306.7901,0.580698,1.376053,0.4949684,-0.9256677,0.06423137,-0.3505787,0.1269181,5.960464E-08,0,0.243638,0,0.6466547,0,0,0,0,0,0,0,0,0,0,0,0
306.8167,0.5807199,1.376175,0.4950339,-0.9255434,0.0639187,-0.3507645,0.1274678,5.960464E-08,0,0.243638,0,0.6479716,0,0,0,0,0,0,0,0,0,0,0,0
306.8307,0.5807644,1.37622,0.4951762,-0.9254796,0.0637705,-0.3508454,0.1277825,5.960464E-08,0,0.243638,0,0.6495697,0,0,0,0,0,0,0,0,0,0,0,0
306.8595,0.5808136,1.376197,0.4947875,-0.9255807,0.06359793,-0.3504524,0.1282139,5.960464E-08,0,0.243638,0,0.6526943,0,0,0,0,0,0,0,0,0,0,0,0
306.8792,0.5808246,1.376322,0.494975,-0.9255538,0.06366502,-0.3504215,0.1284594,5.960464E-08,0,0.243638,0,0.6538764,0,0,0,0,0,0,0,0,0,0,0,0
306.9025,0.5809867,1.376278,0.4950948,-0.9255053,0.06368269,-0.350456,0.1287057,5.960464E-08,0,0.243638,0,0.6546332,0,0,0,0,0,0,0,0,0,0,0,0
