Time,R_PositionX,R_PositionY,R_PositionZ,R_RotationX,R_RotationY,R_RotationZ,R_RotationW,R_CurlIndex,R_CurlMiddle,R_CurlRing,R_CurlPinky,R_CurlThumb,L_PositionX,L_PositionY,L_PositionZ,L_RotationX,L_RotationY,L_RotationZ,L_RotationW,L_CurlIndex,L_CurlMiddle,L_CurlRing,L_CurlPinky,L_CurlThumb,Mudra
21.69046,0.1227628,0.8987595,0.3083362,-0.7076092,0.04939659,0.226915,0.6673521,5.960464e-08,0.0,0.0,0.0,0.0,-0.07939774,0.8766856,0.359124,-0.6348756,-0.001969271,0.04245235,0.7714447,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
21.7226,0.1272901,0.9022527,0.3087145,-0.7058263,0.07125811,0.1938662,0.6776041,5.960464e-08,0.0,0.0,0.0,0.0,-0.08384456,0.8762137,0.3613957,-0.6194009,-0.01580327,0.06865779,0.7819073,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
21.74696,0.1316457,0.9038938,0.3088712,-0.7017164,0.09611809,0.1554963,0.6886046,5.960464e-08,0.0,0.0,0.0,0.0,-0.08599322,0.8758923,0.3623901,-0.6036631,-0.02755384,0.09746456,0.7907796,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
21.83309,0.1425735,0.9026372,0.3111373,-0.6755276,0.1788832,0.03314279,0.7145382,5.960464e-08,0.0,0.0,0.0,0.0,-0.0913762,0.8753482,0.3640426,-0.556079,-0.0518265,0.1906071,0.8073159,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
21.88161,0.1514242,0.899673,0.3161346,-0.6463785,0.2370808,-0.04500216,0.7238524,5.960464e-08,0.0,0.0,0.0,0.0,-0.09580278,0.8748946,0.3654382,-0.5256185,-0.07597914,0.2347177,0.8141621,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
21.92207,0.163719,0.8933769,0.3229666,-0.6072694,0.2976398,-0.1014548,0.7296173,5.960464e-08,0.0,0.0,0.0,0.0,-0.1046392,0.8733256,0.367479,-0.5000061,-0.1005656,0.2713082,0.816255,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
21.96155,0.1685556,0.8886961,0.323964,-0.5863323,0.3172378,-0.1597736,0.7280433,5.960464e-08,0.0,0.0,0.0,0.0,-0.1107489,0.8719669,0.3684643,-0.4775971,-0.1176994,0.3104703,0.8134225,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
22.02258,0.17005,0.8881484,0.3226925,-0.5632737,0.3380203,-0.2217122,0.7206308,5.960464e-08,0.0,0.0,0.0,0.0,-0.1142253,0.8709923,0.3692479,-0.4453409,-0.1507198,0.351994,0.8093548,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
22.05225,0.1723992,0.8875561,0.3223848,-0.554783,0.3457829,-0.2410313,0.7173241,5.960464e-08,0.0,0.0,0.0,0.0,-0.1172113,0.8706159,0.3693325,-0.435443,-0.1608303,0.3653642,0.8068656,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
22.08039,0.1744671,0.8879117,0.3201363,-0.5485725,0.3520435,-0.2602806,0.7123115,5.960464e-08,0.0,0.0,0.0,0.0,-0.1196446,0.8712171,0.3682519,-0.4286008,-0.1688764,0.3774125,0.8033318,0.0,0.0,0.0,0.0,0.0,Bhumisparsa
