Time,R_PositionX,R_PositionY,R_PositionZ,R_RotationX,R_RotationY,R_RotationZ,R_RotationW,R_CurlIndex,R_CurlMiddle,R_CurlRing,R_CurlPinky,R_CurlThumb,L_PositionX,L_PositionY,L_PositionZ,L_RotationX,L_RotationY,L_RotationZ,L_RotationW,L_CurlIndex,L_CurlMiddle,L_CurlRing,L_CurlPinky,L_CurlThumb,Mudra
13.344,0.006645391,1.208521,0.699726,-0.2655086,0.1991255,-0.5118752,0.7923623,5.960464e-08,0.0,0.1398172,0.1571268,0.4631295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
13.39124,0.006610084,1.208162,0.6979262,-0.267521,0.1989927,-0.5018843,0.7980893,5.960464e-08,0.0,0.1427965,0.1725522,0.4713558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
13.43748,0.005602902,1.209136,0.6958742,-0.2725975,0.1943389,-0.4982052,0.7998216,5.960464e-08,0.0,0.1436527,0.1786502,0.4771242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
13.46697,0.003676419,1.211635,0.6937612,-0.2783771,0.1901155,-0.4910426,0.803268,5.960464e-08,0.0,0.1439425,0.1725076,0.4716591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
13.50782,0.001234835,1.214387,0.6919331,-0.2863328,0.1804592,-0.4784527,0.810266,5.960464e-08,0.0,0.1333347,0.1596473,0.4376461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
13.55486,-0.001008701,1.216595,0.6896672,-0.2950803,0.1680039,-0.4652029,0.8174893,5.960464e-08,0.0,0.1266875,0.1532656,0.4200163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
13.60228,-0.003610352,1.219369,0.6848852,-0.3147217,0.1488601,-0.4427314,0.8263049,5.960464e-08,0.0,0.1181576,0.1392088,0.3690743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
13.65358,-0.007075798,1.221072,0.6789263,-0.3474102,0.124979,-0.3955908,0.8409485,5.960464e-08,0.0,0.1139867,0.1314455,0.3493168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
13.69913,-0.01061844,1.219133,0.6727259,-0.3739984,0.09860486,-0.343075,0.85598,5.960464e-08,0.0,0.1120373,0.1129881,0.2654711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
13.7414,-0.01279889,1.215939,0.6657444,-0.3853543,0.08376514,-0.3095426,0.8652565,5.960464e-08,0.0,0.1114759,0.1006581,0.2223063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
